Christopher Nkunku,Mittelfeld,21,RB Leipzig
Marcel Sabitzer,Mittelfeld,25,RB Leipzig
Hannes Wolf,Mittelfeld,20,RB Leipzig
Jean-Kevin Augustin,Sturm,22,RB Leipzig
Matheus Cunha,Sturm,20,RB Leipzig
Yussuf Poulsen,Sturm,25,RB Leipzig
Timo Werner,Sturm,23,RB Leipzig
Lukas Hradecky,Tor,29,Bayer 04 Leverkusen
Niklas Lomb,Tor,26,Bayer 04 Leverkusen
Ramazan Özcan,Tor,35,Bayer 04 Leverkusen
Lars Bender,Abwehr,30,Bayer 04 Leverkusen
Sven Bender,Abwehr,30,Bayer 04 Leverkusen
Jan Boller,Abwehr,19,Bayer 04 Leverkusen
Aleksandar Dragovic,Abwehr,28,Bayer 04 Leverkusen
Tin Jedvaj,Abwehr,23,Bayer 04 Leverkusen
Panagiotis Retsos,Abwehr,20,Bayer 04 Leverkusen
Daley Sinkgraven,Abwehr,24,Bayer 04 Leverkusen
Jonathan Tah,Abwehr,23,Bayer 04 Leverkusen
Mitchell Weiser,Abwehr,25,Bayer 04 Leverkusen
Wendell,Abwehr,26,Bayer 04 Leverkusen
Charles Aranguiz,Mittelfeld,30,Bayer 04 Leverkusen
Julian Baumgartlinger,Mittelfeld,31,Bayer 04 Leverkusen
Kerem Demirbay,Mittelfeld,26,Bayer 04 Leverkusen
Kai Havertz,Mittelfeld,20,Bayer 04 Leverkusen
Adrian Stanilewicz,Mittelfeld,19,Bayer 04 Leverkusen
Lucas Alario,Sturm,26,Bayer 04 Leverkusen
Leon Bailey,Sturm,21,Bayer 04 Leverkusen
Karim Bellarabi,Sturm,29,Bayer 04 Leverkusen
Moussa Diaby,Sturm,20,Bayer 04 Leverkusen
Paulinho,Sturm,19,Bayer 04 Leverkusen
Joel Pohjanpalo,Sturm,24,Bayer 04 Leverkusen
Kevin Volland,Sturm,27,Bayer 04 Leverkusen
Finn Dahmen,Tor,21,1. FSV Mainz 05
Omer Hanin,Tor,21,1. FSV Mainz 05
Florian Müller,Tor,21,1. FSV Mainz 05
Robin Zentner,Tor,24,1. FSV Mainz 05
Aaron,Abwehr,22,1. FSV Mainz 05
Stefan Bell,Abwehr,27,1. FSV Mainz 05
Daniel Brosinski,Abwehr,31,1. FSV Mainz 05
Ahmet Gürleyen,Abwehr,20,1. FSV Mainz 05
Alexander Hack,Abwehr,25,1. FSV Mainz 05
Jonathan Meier,Abwehr,19,1. FSV Mainz 05
Moussa Niakhaté,Abwehr,23,1. FSV Mainz 05
Ronael Pierre-Gabriel,Abwehr,21,1. FSV Mainz 05
Ridle Baku,Mittelfeld,21,1. FSV Mainz 05
Leandro Barreiro,Mittelfeld,19,1. FSV Mainz 05
Jean-Paul Boetius,Mittelfeld,25,1. FSV Mainz 05
Edimilson Fernandes,Mittelfeld,23,1. FSV Mainz 05
Jean-Philippe Gbamin,Mittelfeld,23,1. FSV Mainz 05
José Rodriguez,Mittelfeld,24,1. FSV Mainz 05
Kunde,Mittelfeld,24,1. FSV Mainz 05
Danny Latza,Mittelfeld,29,1. FSV Mainz 05
Alexandru Maxim,Mittelfeld,29,1. FSV Mainz 05
Phillipp Mwene,Mittelfeld,25,1. FSV Mainz 05
Levin Öztunali,Mittelfeld,23,1. FSV Mainz 05
Cyrill Akono,Sturm,19,1. FSV Mainz 05
Jonathan Burkardt,Sturm,19,1. FSV Mainz 05
Dong-Won Ji,Sturm,28,1. FSV Mainz 05
Jean-Philippe Mateta,Sturm,22,1. FSV Mainz 05
Karim Onisiwo,Sturm,27,1. FSV Mainz 05
Robin Quaison,Sturm,25,1. FSV Mainz 05
Aaron Seydel,Sturm,23,1. FSV Mainz 05
Max Grün,Tor,32,Bor. Mönchengladbach
Tobias Sippel,Tor,31,Bor. Mönchengladbach
Yann Sommer,Tor,30,Bor. Mönchengladbach
Jordan Louis Beyer,Abwehr,19,Bor. Mönchengladbach
Mamadou Doucouré,Abwehr,21,Bor. Mönchengladbach
Nico Elvedi,Abwehr,22,Bor. Mönchengladbach
Matthias Ginter,Abwehr,25,Bor. Mönchengladbach
Tony Jantschke,Abwehr,29,Bor. Mönchengladbach
Stefan Lainer,Abwehr,26,Bor. Mönchengladbach
Michael Lang,Abwehr,28,Bor. Mönchengladbach
Andreas Poulsen,Abwehr,19,Bor. Mönchengladbach
